0,1,2,3,4,5
,Table 4. Cytotoxic eﬀects of Man-speciﬁc lectins on cancer cells (reported during the last decade).,,,,
Apopt.: apoptosis.,,,,,
Phylum,Species,Lectin,Cancer cell,Apopt.,Ref.
Red algae,Agardhiella tenera,ATA,mouse leukemia cell L5178Y,,[87]
,Bryoyhamnion seaforthii,BSL,human colon carcinoma cells L5178Y,,[88]
,,,"oligodendroglioma, ependymona,",,[89]
,,,"meningioma, medullo-blastoma",,
,,,,+,
,Bryothamnion triquetrum,BTL,human colon carcinoma,,[89]
,,,,+,
,Eucheuma serra,ESA,"Colo201, HeLa",,[90]
,,,,+,
,Solieria ﬁliformis,SfL-1,mouse Colon26 adenocarcinoma,,[91]
,,,,+,
,,SfL-2,Colo201,,[92]
,,,,+,
,,,"human osteocarcinoma, murine",,[93]
,,,osteocarcinoma LM8,,
,,,MCF-7,,[15]
