0,1,2,3,4,5
"Viruses 2014, 6",,,,,
,,Table 1. Cont.,,,
Virus Family,Genus,Bat Species,Origin,Detection,Refs.
,,Eptesicus serotinus,,,
,,,Denmark,,
,,Eptesicus isabellinus,,,
,,,France,,
,,Hypsugo savii,,,
,,,Finland,,
,,Minopterus schreibersii,,,
,,,Germany,,
,,Myotis myotis,,,
,,,Hungary,,
,,Myotis daubentonii,,,
,,,Netherlands,Microscopy,
,Various European,Myotis dasycneme,,,
Rhabdoviridae,,,Poland,isolation,"[33,38–54]"
,bat lyssaviruses,Myotis nattereri,,,
,,,Slovakia,PCR,
,,Plectorus auritus,,,
,,,Spain,,
,,Pipistrellus pipistrellus,,,
,,,Switzerland,,
,,Rhinolophus ferrumequinum,,,
,,,Ukraine,,
,,Rousettus aegyptiacus,,,
,,,United,,
,,Vespertilio murinus,,,
,,,Kingdom,,
,,unclassified Chiroptera,,,
