0,1,2,3,4,5
"Molecules 2011, 16",,,,,10233
,,,,Table 2. Cont.,
Compound No.,2D Chemical Structure,,,INSIDE,OUTSIDE
,,,,Free energy of binding,Free energy of binding
,,,,(kcal/mol),(kcal/mol)
,,,,"H3N2 
2009-H1N1","H3N2 
2009-H1N1"
,,CH3,,,
2b,,,,"−10.48 
−10.23","−5.42 
−3.27"
,,,NH,,
,N,NH,,,
,,,NH2,,
,,,C H 3,,
2c,,,,"−10.69 
−11.23","−3.47 
+3.03"
,,,N H,,
,N,N H,,,
,,,N H 2,,
,,,C H 3,,
2d,,,,"−10.26 
−11.35","−4.61 
−2.52"
,,,N H,,
,N,N H,,,
,,,N H 2,,
,,,CH3,,
2e,,,,"−9.97 
−11.14","−0.34 
−1.90"
,,,NH,,
,N,NH,,,
,,,NH2,,
2f,,,,"−10.30 
−10.61","−5.98 
−5.56"
,,,NH,,
,N,NH,,,
,,,NH2,,
2g,,,,"−11.21 
−11.48","−6.16 
−5.60"
,,,NH,,
,N,NH,,,
,,,NH2,,
,,CH3,,,
3a,,,,"−10.18 
−10.40","−4.96 
−3.93"
,,,S,,
,N,NH,,,
,,,NH2,,
