0,1,2,3,4,5
Table 7: Perception of trustworthiness of information sources.,,,,,
,Not Very,Reasonably,Not very,trustworthy at all,I don't know
,trustworthy,trustworthy,trustworthy,,
The government,o,o,o,o,o
in general,,,,,
The current,o,o,o,o,o
national,,,,,
government,,,,,
State,o,o,o,o,o
departments,,,,,
The municipal,o,o,o,o,o
goverment,,,,,
The community,o,o,o,o,o
health services,,,,,
The European,o,o,o,o,o
Union,,,,,
General,o,o,o,o,o
practitioners,,,,,
The media,o,o,o,o,o
Corporate,o,o,o,o,o
enterprises,,,,,
Consumer or,o,o,o,o,o
patient,,,,,
organizations,,,,,
