0,1,2,3,4,5
,Table 1. Aptamers obtained by in vitro selection currently in clinical trials or approved for,,,,
,their use as therapeutic drugs. Updated June 2009.,,,,
Therapeutic,,,,,
,Aptamers,Type,Disease indication,Clinical status,Reference
target,,,,,
,MacugenTM,2’-Fluoro- 2’-O-,,,
VEGF,(Pegaptanib,methyl,Macular degeneration,Market,[57-58]
,Sodium),RNA+PEG,,,
,,,Thrombotic,,
Von Willebrand,,,microangiopathy,Phase 2,
,ARC1779,DNA/RNA+PEG,,,[59-60]
factor,,,Adjunct to carotid,Phase 2,
,,,endarterectomy,,
,,RB006 2’-,,,
,REG-1 (RB006,,,,
,,Fluoro,Coronary artery bypass,,
,aptamer +,,,Phase 2,
Factor IXa,,RNA+PEG and,Percutaneous coronary,,[61-63]
,RB007,,,Phase 2,
,,RB007 2’-O-,intervention,,
,antidote),,,,
,,methyl RNA,,,
,,,Acute myeologenous,,
,,,,Phase 2,
Nucleolin,AS1411,DNA,leukemia,,[64-66]
,,,,Phase 2,
,,,Renal cell carcinoma,,
PDGF-b,E10030,DNA,Macular degeneration,Phase 1,[67-68]
Complement,,,,,
,ARC1905,2’-Fluoro RNA,Macular degeneration,Phase 1,[69]
factor 5,,,,,
Thrombin,NU172,DNA,Coronary artery bypass,Phase 1,[70-72]
