0,1,2,3,4,5,6,7,8
this cell line is suitable for PDCoV isolation and propagation.,,,,,,,,
,Table 1. Replication of early and late passages of PDCoV strain CHN-SC2015.,,,,,,,
,,,,,Results of Diﬀerent Passage,,,
Isolate,Parameter,,,,,,,
,,P1,P5,P10,P15,P20,P25,P30
,,+,+,+,+,+,+,+
,CPEs,,,,,,,
,qRT-PCR CT,ND,22.09,24.01,18.71,18.44,18.15,20.02
CHN-SC2015,,,,,,,,
,Virus RNA Copies,,,,,,,
,,ND,1.75,1.19,2.74,2.82,2.90,2.36
,(Log10 Copies/µL),,,,,,,
,Infectious titer,,,,,,,
,,5.26,4.31,7.00,7.53,8.22,7.53,8.11
,"/mL)
(Log10 TCID50",,,,,,,
