0,1,2,3,4,5,6,7,8,9,10,11
Time (days),,,,,,,PEDV Virus titer (log TCID50/mL),,,,
,,Feed,SDPP1 Meat Meal,,Meat Bone,,Blood Meal Soybean Meal Corn,,Low oil,Medium oil,High oil
,,,,,Meal,,,,DDGS2,DDGS2,DDGS2
,0,4.28,2.06,2.83,3.06,3.84,3.50,2.84,3.51,2.51,3.94
,1,2.51,1.51,2.17,2.28,2.95,3.84,2.51,1.73,1.51,2.18
,3,1.51,0.50,1.17,1.94,2.39,3.28,2.40,1.62,1.28,1.62
,7,1.40,0.50,1.51,1.72,1.61,2.83,1.51,1.72,1.51,1.51
,14,0.61,1.06,1.50,1.51,1.51,2.06,0.50,1.51,1.51,1.51
,21,0.50,0.83,1.62,1.51,1.51,1.62,0.50,1.40,1.17,1.51
,28,1.17,0.50,1.51,1.51,1.51,1.51,0.50,0.61,0.72,1.51
,35,0.50,0.50,1.51,1.51,1.51,1.40,0.50,0.50,0.50,1.51
,42,0.50,0.50,1.51,1.51,0.50,0.50,0.50,0.50,0.50,1.51
,49,0.50,0.50,0.50,0.50,0.50,0.72,0.50,0.50,0.50,1.51
,56,0.50,0.50,0.50,0.50,0.50,0.83,0.50,0.50,0.50,0.50
Log,,,,,,,,,,,
Reduction,,,,,,,,,,,
,7,2.89,1.56,1.32,1.33,2.23,0.67,1.33,1.79,1.00,2.43
,14,3.67,1.01,1.33,1.55,2.33,1.45,2.34,2.00,1.00,2.43
,28,3.11,1.56,1.32,1.55,2.33,1.99,2.34,2.90,1.79,2.43
,42,3.78,1.56,1.32,1.55,3.34,3.00,2.34,3.01,2.01,2.43
,56,3.78,1.56,2.33,2.56,3.34,2.67,2.34,3.01,2.01,3.44
