0,1,2,3,4,5
,,Table 1. Cont.,,,
Virus Family,Genus,Bat Species,Origin,Detection,Refs.
Filoviridae,Cuevovirus,Miniopterus schreibersii,Spain,PCR,[29]
,,Eptesicus serotinus,,,
,Hep-E-related,,Germany,,
Hepeviruses,,Myotis bechsteinii,,PCR,[30]
,viruses,,Bulgaria,,
,,Myotis daubentonii,,,
,,Myotis myotis,,,
,,Myotis nattereri,,,
,Betaherpesvirus,,,,
,,Nyctalus noctula,Germany,PCR,[31]
,Gammaherpesvirus,,,,
,,Pipistrellus pipistrellus,,,
Herpesviridae,,,,,
,,Plecotus auritus,,,
,Betaherpesvirus,,,,
,,Rousettus aegyptiacus,Hungary,PCR,[15]
,Alphaherpesvirus,,,,
,Gammaherpesvirus,Eptesicus serotinus,Hungary,PCR,[32]
,,Eptesicus serotinus,,,
Papillomavirus,Papillomavirus,,Spain,PCR,[33]
,,Rhinolophus ferrumequinum,,,
,,Myotis mystacinus,,,
,Unassigned,Nyctalus noctula,Germany,PCR,[34]
,,Pipistrellus pipistrellus,,,
