0,1,2,3,4,5
,,Table 2. Cont.,,,
,,,,Scavenger,
,PS,Scavenger,Microorganism,,Reference
,,,,protection,
Bacteriophages,,,,,
,"5,10,15-(4-β-D-glucosylphenyl)-",,,,
,,DMTU (0.1–5.0 mM),T7 phage,44%,[64]
20-phenylporphyrin,,,,,
"5,10.15,20-Tetrakis(4-β-D-",,,,,
,,DMTU (0.1–5.0 mM),T7 phage,79%,[64]
glucosylphenyl) porphyrin,,,,,
"5,10,15-(4-β-D-",,,,,
galactosylphenyl)-20-,,DMTU (0.1–5.0 mM),T7 phage,89%,[87]
,(pentafluorophenyl)-porphyrin,,,,
,"5-(pentafluorophenyl)-10,15,20-",,T4 phage,20%,
,,D-mannitol (100 mM),,,[107]
tris(1-methylpyridinium-4-,,,Qβ,no effect,
yl)porphyrin,,,,,
,,L-cysteine (100 mM),T4 phage,9%,[107]
"5,10,15,20-tetrakis(1-",,,,,
,,D-mannitol (100 mM),T4 phage,no effect,[107]
,methylpyridinium-4-yl)porphyrin,,,,
Proflavine,,L-cysteine (0.025 M),T3 phage,75–80%,[63]
Polyhydroxylated fullerene,,SOD,MS2 phage,no effect,[90]
