0,1,2,3,4,5,6
,O,O,,,,
,,O,,,,
,OH,,,,,
,,OH,,,,
,,OH,,,,
,,,Group 5 from [24],,,
D1,,,−8.48,−8.26,−5.38,−5.06
,,"N C
H3",,,,
D2,,N H,−7.83,−7.94,−5.58,−5.20
,,CH3,,,,
D3,,NH,−7.38,−6.91,−4.27,−3.86
,CH3,,,,,
D4,,,−7.46,−7.29,−5.69,−5.53
,,NH2,,,,
,CH3,,,,,
D5,,,−8.01,−7.93,−5.61,−5.70
,CH3,,,,,
,,NH2,,,,
D6,,,−7.79,−7.59,−5.17,−5.15
,,NH2,,,,
,,CH3,,,,
,CH3,,,,,
D7,,,−8.54,−8.27,−5.72,−5.60
,,NH2,,,,
,,CH3,,,,
,CH3,,,,,
D8,,,−9.10,−8.86,−6.12,−5.72
,CH3,,,,,
,,NH2,,,,
,,CH3,,,,
,,O,,,,
D9,,,−7.12,−7.37,−5.51,−4.77
,,NH,,,,
,,CH3,,,,
