0,1,2,3,4,5
Table 8: Perception of trustworthiness of information sources in the event of a global pandemic.,,,,,
,Not Very,Reasonably,Not very,trustworthy at all,I don't know
,trustworthy,trustworthy,trustworthy,,
The current,o,o,o,o,o
national,,,,,
government,,,,,
State,o,o,o,o,o
departments,,,,,
The municipal,o,o,o,o,o
goverment,,,,,
The community,o,o,o,o,o
health services,,,,,
The European,o,o,o,o,o
Union,,,,,
My general,o,o,o,o,o
practitioner,,,,,
The media,o,o,o,o,o
Consumer or,o,o,o,o,o
patient,,,,,
organizations,,,,,
My family and/or,o,o,o,o,o
friends,,,,,
My neighbors,o,o,o,o,o
