0,1,2,3,4,5
Table 1. Overview of algal lectins with a mannose-speciﬁcity. OAAH— Oscillatoria agardhii agglutinin,,,,,
,homolog; GNA—Galanthus nivalis agglutinin.,,,,
,,,,Structural,
Algae Phylum,Algae Family,Algae Species,Lectin,,Ref.
,,,,Scaﬀold,
Red algae,Griﬃthsin,Griﬃthsia sp.,griﬃthsin,β-prism I,[3]
,,,"ASL-1,",β-barrel,
,,Agardhiella subulata,,,[8]
,,,ASL-2,β-barrel,
,,,EAA-1,β-barrel,
,,Eucheuma amakusaensis,EAA-2,β-barrel,[9]
,,,EAA-3,β-barrel,
,,,ECA-1,β-barrel,
,,Eucheuma cottonii,,,[9]
,,,ECA-2,β-barrel,
,,,EDA-1,β-barrel,
,,Eucheuma denticulatum,,,[10]
,,,EDA-2,β-barrel,
Brown algae,OAAH-like,,,,
,,,ESA-1,β-barrel,
,,Eucheuma serra,,,"[11,12]"
,,,ESA-2,β-barrel,
,,Kappaphycus alvarezii,KAA-2,β-barrel,[13]
,,Kappaphycus striatum,KSA-2,β-barrel,[14]
,,Meristiella echinocarpa,MEL,β-barrel,[8]
,,,MPA-1,β-barrel,
,,Meristotheca papulosa,,,[8]
,,,MPA-2,β-barrel,
,,,SfL-1,β-barrel,
,,Solieria ﬁliformis,,,[15]
,,,SfL-2,β-barrel,
