0,1,2,3,4,5
"Viruses 2014, 6",,,,,2396
,,,Table 1. Cont.,,
Virus,Target,Vector/Delivery,Immunization,Response,Reference
RVFV,Gn,VEE/Particles,Mouse,RVFV protection,[54]
SARS-CoV,Glycoprotein,VEE/Particles,Mouse,SARS-CoV protection,[55]
SEOV,"M, S","SIN/Particles, DNA",Hamster,SEOV protection,[56]
SHIV,Env,SFV/Particles,Macaque,T-cell proliferative response,[57]
SUDV,GP,VEE/Particles,Primate,SUDV protection,[58]
Vaccinia,"A33R, B5R",VEE/Particles,Mouse,Vaccinia protection,[59]
,"Abbreviations:  Abs,  antibodies;  BVDV,  bovine  viral  diarrhea  virus;  CMI,  cell-mediated",,,"immune  response;  CMV,",
