0,1,2,3,4,5
signiﬁcant differences among vaccine and challenge groups for each week (p < 0.05).,,,,,
,,Treatment,,Mean ± SEM,
Week,,,,,
,Vaccine,Challenge,Trachea,Harderian Gland,Conjunctiva
,−,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
,+,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
20,,,,,
,+,+,40.0 ± 0.0 a,39.7 ± 0.3 a,35.4 ± 1.2 b
,−,+,24.2 ± 0.4 b,22.7 ± 0.4 b,18.2 ± 1.4 c
,−,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
,+,−,40.0 ± 0.0 a,40.0 ± 0.0 a,38.7 ± 0.9 a
24,,,,,
,+,+,40.0 ± 0.0 a,40.0 ± 0.0 a,34.5 ± 0.9 b
,−,+,25.2 ± 1.1 b,26.0 ± 1.4 b,17.3 ± 0.8 c
,−,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
,+,−,40.0 ± 0.0 a,40.0 ± 0.0 a,36.8 ± 1.3 b
28,,,,,
,+,+,39.5 ± 0.3 a,40.0 ± 0.0 a,38.5 ± 0.6 ab
,−,+,23.9 ± 0.9 b,22.5 ± 1.4 b,17.0 ± 0.5 c
,−,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
,+,−,40.0 ± 0.0 a,39.7 ± 0.4 a,40.0 ± 0.0 a
32,,,,,
,+,+,39.7 ± 0.3 a,40.0 ± 0.0 a,27.2 ± 0.6 b
,−,+,24.7 ± 1.0 b,24.2 ± 1.1 b,17.7 ± 0.6 c
,−,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
,+,−,40.0 ± 0.0 a,40.0 ± 0.0 a,39.5 ± 0.5 a
36,,,,,
,+,+,39.8 ± 0.2 a,38.3 ± 0.8 a,32.0 ± 0.5 b
,−,+,26.4 ± 1.7 b,34.9 ± 1.6 b,18.8 ± 0.9 c
,,,Notes: SEM = Standard error of the mean.,,
