0,1,2,3,4,5
Table 2. Clinical signs and microscopic lesions measured 5 days following IBV GA98 challenge. Letters,,,,,
(a–b) indicate signiﬁcant differences among vaccine and challenge groups for each week (p < 0.05).,,,,,
,,Treatment,Clinical Signs,Histopathology Lesions,
Week,,,,,
,Vaccine,Challenge,Mean ± SEM,Deciliation,Necrosis
,−,−,0.0 ± 0.0 a,2/10 a,0/10 a
,+,−,0.0 ± 0.0 a,1/9 a,1/9 a
20,,,,,
,+,+,0.0 ± 0.0 a,0/18 a,0/18 a
,−,+,0.7 ± 0.2 b,8/10 b,8/10 b
,−,−,0.0 ± 0.0 a,0/10 a,0/10 a
,+,−,0.0 ± 0.0 a,0/9 a,1/9 a
24,,,,,
,+,+,0.1 ± 0.1 a,0/16 a,0/16 a
,−,+,1.0 ± 0.3 b,6/8 b,5/8 b
,−,−,0.0 ± 0.0,0/9 a,0/9 a
,+,−,0.0 ± 0.0,0/9 a,0/9 a
28,,,,,
,+,+,0.1 ± 0.1,1/17 a,2/17 a
,−,+,0.5 ± 0.3,6/10 b,6/10 b
,−,−,0.0 ± 0.0 a,0/0 a,0/0 a
,+,−,0.0 ± 0.0 a,0/9 a,0/9 a
32,,,,,
,+,+,0.1 ± 0.1 a,0/16 a,0/16 a
,−,+,1.2 ± 0.4 b,7/9 b,5/9 b
,−,−,0.0 ± 0.0 a,0/9 a,0/9 a
,+,−,0.0 ± 0.0 a,0/9 a,0/9 a
36,,,,,
,+,+,0.1 ± 0.1 a,0/16 a,0/16 a
,−,+,0.4 ± 0.3 b,6/9 b,7/9 b
,,,Notes: SEM = Standard error of the mean.,,
