0,1,2,3,4,5
hoc analysis,,,,,
,,,"ity of
the cats; however,",,these cytokines were detected in
,Table 7 Relative expression profiles of,,immune-related genes in PBMC of FCoV-positive cats,,
Cat status,Cat ID,CCL8 (MCP2),CXCL10 (IP10),MX1,Viperin (RSAD2)
Negative,1*,ND,ND,ND,1 ± 0bc
Non-effusive,2,ND,18.67 ± 0.33b,6.79 ± 1.8e,−1.88 ± 0.27bc
,3,16.32 ± 5.48c,ND,0.91 ± 0.1cd,ND
,6,ND,ND,0.03 ± 0a,−86.21 ± 0.01a
,14,0.42 ± 0.02a,ND,1.45 ± 0.36d,−28.01 ± 0.02b
,15,ND,ND,0.58 ± 0.04c,−94.34 ± 0.01a
,16,ND,ND,0.32 ± 0.07b,−39.84 ± 0.02b
Effusive,4,ND,ND,0.05 ± 0a,ND
,7,0.1 ± 0.05a,0.23 ± 0.22a,13.62 ± 5.07fg,4.87 ± 1.39cd
,8,ND,ND,3773.07 ± 67.71j,437.28 ± 31.23f
,9,ND,ND,7309.7 ± 52.55k,50.48 ± 3.44e
,5,1.08 ± 0.38b,19.17 ± 0c,19.14 ± 0.02gh,4.95 ± 0.31cd
,10,ND,ND,56.48 ± 13.47i,7.91 ± 5.25de
,11,ND,ND,6.79 ± 0.74ef,−3.35 ± 0.17c
,12,ND,ND,16.37 ± 5.13g,1.83 ± 0.45bcd
,13,ND,ND,26.9 ± 1.61h,10.16 ± 1.08de
ND Not detected,,,,,
