0,1,2,3,4,5
,Table 6. Top targets based on number of molecules developed towards them,,,,
"Target
(alone or
in bispeciﬁc pairing)",Therapeutic area,Phase of development,,,
,,Phase I/II,Phase III,Approved,Total
CD19,ONC,YYAAAABBB(53T),Y,B,64
CD3E,"IMM, ONC, CVM",YYYYM (24B),-,YBB,32
ERBB2 (HER2),ONC,YYYAAABBBBBBB,Y,YYA,24
,,TTTTTTT,,,
EGFR,ONC,YYYATBBBBBBBBB,YY,YYY,19
MS4A1 (CD20),ONC,YYACCBBTT,YY,YYYRR,16
IL17A,IMM,YYYYYYBBBBB,-,YYY,14
CD22,ONC,ABTTTTTTT,YAAR,-,13
ERBB3 (HER3),ONC,YYYYYYYYABBB,Y,-,13
PDCD1 (PD-1),ONC,YYYYYYYYYF,-,YY,12
MSLN (Mesothelin),ONC,YAAATTTTTTTT,,,12
APP (Amyloid-β),NS,YYYYYYYYF,YYY,-,12
VEGFA,"ONC, OPHT",YYBBBBB,Y,YYF,11
GD2 ganglioside,ONC,BCTTTTTTTT,-,Y,11
TNF (TNF-α),IMM,YYYBBF,-,YYYYF,11
CD274 (PD-L1),ONC,YYYYYYB,Y,YY,10
IL3RA (CD123),ONC,YYABBBTTT,,,9
CD33,ONC,YABRTTT,A,A,9
MET (cMet),ONC,YYYYABBT,Y,-,9
TNFRSF4 (OX40; agonist),ONC,YYYYYYYF,,,8
IL6,ONC,YYYYF,-,YYY,8
GPC3 (Glypican-3),ONC,YBTTTTTT,,,8
TNFRSF8 (CD30),ONC,BTTTTTT,-,A,8
CEA,ONC,BBBCRRTT,,,8
TNFRSF18 (GITR; agonist),ONC,YYYYYYY,,,7
"EGFR-variant
III
(EGFRvIII)",ONC,YAATTTT,-,-,7
CD40 (antagonist),"ONC,
IMM",YYYYYYY,,,7
ANGPT2,"ONC, OPHT",YYYYBBB,,,7
IL13,IMM,YYYYB,YY,-,7
FOLH1 (PSMA),ONC,AABBTTT,,,7
"Abbreviations: A, antibody drug conjugate (ADC); ANGPT2, angiopoietin 2; B, bispeciﬁc antibody; C,",,,,,
