0,1,2,3,4,5
,Table 1. Therapeutic PEGylated proteins currently marketed in the United States and Europe.,,,,
,,,Size of PEG,,
,,Trade name,,,Year of
Parent Molecule,Generic name,,moiety,Indication,
,,(company),,,approval
,,,(kDa),,
,,,,Severe combined,
Adenosine,Pegademase,,,,
,,Adagen (Enzon),5,immunodeficiency,1990
deaminase,bovine,,,,
,,,,disease (SCID),
,,,,Acute,
L-asparaginase,Pegaspargase,Oncaspar (Enzon),5,lymphoblastic,1994
,,,,leukemia,
,,PegIntron (Schering-,,,
Interferon -2b,Peginterferon -2b,,12,Hepatitis C,2000
,,Plough),,,
Interferon -2a,Peginterferon -2a,Pegasys (Genetech),40,Hepatitis C,2001
G-CSF,Pegfilgrastim,NeulastaTM (Amgen),20,Neutropenia,2002
,,SomavertTM (Pfizer,,,
hGH,Pegvisomant,,5,Acromegaly,2003
,,Pharmacia),,,
,Methoxy,,,,
Erythropoietin,polyethylene glycol-,Mircera (Roche),40,Anemia,2007
,epoetin beta,,,,
,,,,Rheumatoid,
Anti-TNF Fab,Certolizumab pegol,Cimzia (UCB),40,arthritis and,2008
,,,,Crohn’s disease,
