0,1,2,3,4,5
the most suitable reaction temperature.,,,,,
,Table 2. Non-specific amplification of varying LAMP primer combination.,,,,
,Threshold Time,Threshold Time,Threshold Time,Threshold Time,Threshold Time
PC/NC,,,,,
,at 61 °C (min),at 59 °C (min),at 57 °C (min),at 55 °C (min),at 53 °C (min)
Positive Control,42,28,26,28,36
(1 pg DNA),undetermined,32,26,27,56
,undetermined,undetermined,undetermined,undetermined,undetermined
Negative Control,,,,,
,undetermined,undetermined,undetermined,undetermined,undetermined
