0,1,2,3,4,5
,"Table 1 HuCV infection detected in the stool samples of patients with diarrhea and healthy controls in Kunming, China (age stratified)",,,,
Age group,Subtypes/genotypes,Diarrhea,Control,p-value,OR (95 % CI)
,,N (%),N (%),,
"All age groups Cases = 1,121 Controls = 319",HuCV,123 (11.0),11 (3.4),<0.0001,3.5 (1.8–6.5)
,NoV GII,118 (10.5),10 (3.1),<0.0001,3.6 (1.8–7.0)
,NoV GI,2 (0.2),1 (0.3),0.528,
,SaV,3 (0.3),0 (0.0),0.472,
,GII.4,55 (4.9),6 (1.9),0.018,2.7 (1.1–6.3)
,GII.3,28 (2.5),0 (0.0),0.001,
,GII.12,25 (2.2),3 (0.9),0.141,2.4 (0.7–8.0)
,GII.17,8 (0.7),0 (0.0),0.134,
,GII.5,2 (0.2),1 (0.3),0.403,0.57 (0.05–6.3)
0–5 years Cases = 850 Controls = 170,HuCV,98 (11.5),8 (4.7),0.008,2.6 (1.3–5.5)
,NoV GII,94 (11.1),8 (5.5),0.012,2.5 (1.2–5.3)
,NoV GI,1 (0.1),0 (0.0),0.833,
,SaV,3 (0.4),0 (0.0),0.578,
5–65 years Cases = 244 Controls = 137,HuCV,21 (8.6),2 (1.5),0.005,6.4 (1.5–27.5)
,NoV GII,20 (8.2),2 (1.5),0.007,6.0 (1.4–26.2)
,NoV GI,1 (0.4),0 (0.0),0.640,
,SaV,0 (0.0),0 (0.0),,
≥65 years Cases = 27 Controls = 12,HuCV,4 (14.8),1 (8.3),0.357,1.9 (0.2–19.2)
,NoV GII,4 (14.8),0 (0.0),0.213,
,NoV GI,0 (0.0),1 (8.3),0.308,
,SaV,0 (0.0),0 (0.0),,
Significant difference are marked in bold,,,,,
