0,1,2,3,4,5
Table 1. Comparison of the anti-respiratory syncytial virus (RSV) activities of different proteins,,,,,
,,,modified by distinct anhydrides.,,
,,,,Inhibition of Infection by,
Anhydride-Modified,,,,,
,,RSV A2 Strain,,RSV Long Strain,
Protein,,,,,
,,IC50 (μM),IC90 (μM),IC50 (μM),IC90 (μM)
HP,,3.142 ± 0.458,>10,5.832 ± 0.753,>10
HP-β-LG,,0.062 ± 0.011,0.227 ± 0.029,0.153 ± 0.011,0.422 ± 0.021
HP-OVA,,0.013 ± 0.002,0.052 ± 0.009,0.100 ± 0.007,0.517 ± 0.121
HP-HSA,,0.006 ± 0.001,0.042 ± 0.022,0.011 ± 0.003,0.056 ± 0.010
HP-BSA,,0.005 ± 0.001,0.025 ± 0.010,0.016 ± 0.004,0.099 ± 0.011
ML,,>10,>10,>10,>10
ML-β-LG,,0.283 ± 0.130,1.046 ± 0.263,0.173 ± 0.045,0.581 ± 0.091
ML-OVA,,0.024 ± 0.011,0.077 ± 0.033,0.217 ± 0.005,1.425 ± 0.143
ML-HSA,,0.012 ± 0.002,0.038 ± 0.003,0.002 ± 0.001,0.013 ± 0.005
ML-BSA,,0.002 ± 0.000,0.026 ± 0.019,0.007 ± 0.002,0.025 ± 0.005
SU,,>10,>10,>10,>10
SU-β-LG,,0.599 ± 0.079,1.388 ± 0.112,0.405 ± 0.100,1.093 ± 0.209
SU-OVA,,0.046 ± 0.008,0.172 ± 0.024,0.277 ± 0.077,1.173 ± 0.321
SU-HSA,,0.011 ± 0.005,0.049 ± 0.021,0.014 ± 0.005,0.110 ± 0.070
SU-BSA,,0.006 ± 0.001,0.047 ± 0.011,0.026 ± 0.015,0.125 ± 0.020
Each  sample  was,"tested 
in","triplicate,  and",the  experiment  was,"repeated 
twice.  The  data",from  one
