0,1,2,3,4,5
,"Table 2. 13C-NMR (100 MHz, CDCl3, δC in ppm) data of E. erythradenia triterpenoids.",,,,
Pos,1a,1b,2,3,4
1,31.9,31.9,32.0,32.0,38.4
2,30.4,30.4,30.4,30.4,27.2
3,78.8,78.8,78.8,78.8,79.0
4,40.5,40.5,40.5,40.5,38.8
5,47.1,47.1,47.1,47.1,55.2
6,21.1,21.1,21.1,21.1,18.3
7,28.1,28.1,28.1,28.1,32.6
8,48.0,48.0,48.0,48.0,39.3
9,20.0,20.0,20.0,20.0,47.6
10,26.0,26.0,26.0,26.1,37.1
11,26.0,26.0,26.0,26.0,22.9
12,32.9,32.9,35.6,32.9,122.6
13,45.3,45.3,45.3,45.3,143.6
14,48.8,48.8,48.8,48.8,41.0
15,35.5,35.5,32.8,35.5,27.7
16,26.4,26.4,26.4,26.5,23.4
17,52.1,52.1,52.0,52.3,46.5
18,18.0,18.0,18.1,18.1,41.6
19,29.9,29.9,30.0,29.9,45.9
20,35.9,35.9,36.4,36.4,30.7
21,18.3,18.3,18.3,18.4,33.8
22,31.9,31.9,39.0,33.5,32.4
23,31.5,31.6,139.3,28.7,28.1
24,76.3,76.7,125.6,79.6,15.6
25,147.5,147.7,70.7,76.2,15.3
26,111.4,110.9,29.9,23.2,17.0
27,17.2,17.6,29.9,26.5,25.9
28,19.3,19.3,19.3,19.3,183.3
29,14.0,14.0,14.0,14.0,33.1
30,25.4,25.4,25.4,25.4,23.6
