0,1,2,3,4,5
"Viruses 2012, 4",,,,,3367
,,,Table 1. Cont.,,
,Cell culture system,IAV subtype,Cytokine induction,Genes up-regulated,Refs.
,hMDMs,H5N1 vs H1N1,Higher in H5N1,"TNF–α, MCP-1, RANTES, IP-",[54]
,,,infected cells,"10, IL–1β, IL-6, IFN-αβ, and",
,,,,TRAIL,
,hMDMs,H5N1 vs H1N1,Higher in H5N1,"RIG-I, MDA5, TLR3, IFN-β,",[55]
,,,infected cells,"TNF-α, IP-10",
,hMDMs,H5N1 and,Higher in H5N1,"NF α, IFN-α/β,IL-1β, MCP-1,",[56]
,,H1N1 or H3N2,than H1N1/H3N2,"MIP-1α, RANTES, IL-12",
,,,infected cells,,
,hMDMs,H5N1 and,Higher in,"TNF α, IL-6, MIP-1α, IP-10",[57]
Immune cells,,H1N1 or H3N2,H5N1/H3N1 than in,,
,,,H1N1 infected cells,,
,hMDMs,H5N1 vs H1N1,Higher in H1N1,"TNF-α, IFN-β, IFN-λ1,IFN-α,",[58]
,,,infected cells,MCP-1,
,hMDMs,H5N1 vs H1N1,Higher in H1N1,"TNF-α, IFN-β, IFN-λ1, IP-10",[59]
,,,infected cells,,
,"MDDCs, mDCs and",H5N1,,"IFN-α, TNF-α",[60]
,pDCs,,,,
,pDCs,H5N1 and,Higher in H5N1,"IFN-α, TNF-α",[61]
,,H1N1 or H3N2,than H1N1/H3N2,,
,,,infected cells,,
