0,1,2,3,4,5
effector responses.,,,,,
,,Table 3. Alphavirus-based vaccine development for cancer targets.,,,
Target,Gene,Vector/Delivery,Immunization,Response,Reference
Brain tumor,IL-12,SFV/Particles,Mouse,Immunogenicity,[77]
,,,,Inhibited tumor,
,Endostatin,SFV/Particles,Mouse,,[78]
,,,,growth,
,LacZ,SFV/Particles,Mouse,Tumor protection,[79]
,"gp100, IL-18",SIN/DNA,Mouse,Tumor protection,[80]
,HER2/neu,SIN/DNA,Mouse,Tumor protection,[81]
,HER2/neu,SIN/DNA,Mouse,Tumor protection,[82]
,HER2/neu,"SIN/DNA, paclitaxel",Mouse,Tumor regression,[83]
,,,,Anti-tumor,
,Neu,VEE/Particles,Rat,,[84]
,,,,immunity,
,Neu,"VEE /Particles, DCs",Mouse,Tumor regression,[85]
Cervical,,,,,
,HPVE6-E7,SFV/Particles,Mouse,Tumor protection,[86]
cancer,,,,,
,HPVE6-E7,SFV/Particles,Mouse,Tumor regression,[87]
,HPV-CRT,SIN/Particles,Mouse,Tumor protection,[88]
,HPVE7,VEE/Particles,Mouse,Tumor protection,[89]
,HPVE6E7+IL12,SFV/Particles,Mouse,Anti-tumor activity,[90]
,,,,CD8+ T-cell,
,HPVE7-VP22,SIN/Particles,Mouse,,[91]
,,,,response,
Colon cancer,SFV vector,SFV/Particles,Mouse,Anti-tumor effect,[92]
Endothelial,VEGFR-2,SFV/Particles,Mouse,Antibody response,[93]
Glioma,"B16, 203",SFV/Particles,Mouse,Tumor protection,[94]
,,SFV/Encapsulated,,5-fold IL-12,
Kidney cancer,IL-12,,Human Phase I,,[95]
,,particles,,expression,
Melanoma,MDA/trp-2,VEE/Particles,Mouse,Therapeutic effect,[76]
