0,1,2,3,4,5
,Table 1. Anti-ANDV N ELISA titers in hamsters that survived i.n. challenge with 200 FFU,,,,
of ANDV.,,,,,
,Challenge 6 months post-vaccination,,,Challenge 12 months post-vaccination,
Animal,Vaccine,Titer,Animal,Vaccine,Titer
1,VSV∆G-ANDV-GPC,NA,13,VSV∆G-ANDV-GPC,≥3200
2,VSV∆G-ANDV-GPC,800,14,VSV∆G-ANDV-GPC,NA
3,VSV∆G-ANDV-GPC,1600,15,VSV∆G-ANDV-GPC,≥3200
4,VSV∆G-ANDV-GPC,1600,16,VSV∆G-ANDV-GPC,1600
5,VSV∆G-ANDV-GPC,≥3200,17,VSV∆G-ANDV-GPC,800
6,VSV∆G-ANDV-GPC,≥3200,18,VSV∆G-ANDV-GPC,≥3200
7,Mock,NA,19,Mock,≥3200
8,Mock,NA,20,Mock,≥3200
9,Mock,NA,21,Mock,NA
10,Mock,NA,22,Mock,NA
11,Mock,1600,23,Mock,NA
12,Mock,NA,24,Mock,NA
,,NA = Animals that did not survive challenge.,,,
