0,1,2,3,4,5
"Viruses 2014, 6",,,,,2395
,,Table 1. Alphavirus-based vaccine development for viral targets.,,,
Virus,Target,Vector/Delivery,Immunization,Response,Reference
BVDV,E2,VEE/Particles,Calf,BVDV protection,[23]
,NS3 (p80),SFV/DNA,Mouse,"CTL, CMI",[24]
CMV,gB/pp65-1E1,VEE/Particles,Human Phase I,Neutralizing Abs,[25]
CSFV,E2,SFV/DNA,Swine,CSFV protection,[26]
Dengue,"PrME, E85",VEE/Particles,Macaque,Dengue protection,[27]
Ebola,NP,VEE/Particles,Mouse,Ebola protection,[21]
,"NP, GP",VEE/Particles,Guinea pig,Ebola protection,[22]
,"VP24, 30, 35, 30",VEE/Particles,Mouse,Ebola protection,[28]
Hepatitis B,cAg,SIN/DNA,Mouse,Specific Abs,[29]
,sAg,SIN/DNA,Mouse,Specific Abs,[29]
Hepatitis C,cAg,"SFV/Particles, DNA",Mouse,CTL,[30]
,NS3,SFV/Particles,Mouse,Cellular,[31]
,nsPs,SFV/Particles,Mouse,CD8+ T-cell response,[32]
HeV,Glycoprotein,VEE/Particles,Mouse,Neutralizing Abs,[33]
HIV-1,Env,SFV/Particles,Mouse,Humoral,[17]
,gp41,SFV/Particles,Mouse,Monoclonal Abs,[18]
,MA/CA,VEE/Particles,Mouse,"Humoral, CTL",[19]
HPV,16E7,SFV/DNA,Mouse,CTL,[34]
,16E7-VP22,SIN/Particles,Mouse,CD8+ T-cell response,[35]
HSV-1,gpB,SIN/Particles,Mouse,HSV protection,[36]
,gpB,SIN/DNA,Mouse,"CTL, protection",[37]
IBDV,VP2,"SFV/Particles, DNA",Chicken,Specific Abs,[38]
Influenza,HA,SFV/Particles,Mouse,Systemic response,[15]
,HA,VEE/Particles,Chicken,Influenza protection,[16]
,HA,VEE/Particles,Swine,Influenza protection,[20]
,NP,"SFV/Particles, RNA",Mouse,"Humoral, CTL",[39]
ISAV,HE,SAV/Particles,Salmon,ISAV protection,[40]
JEV,"prM-E, NS1-2A",SIN/Particles,Mouse,JEV Abs,[41]
Lassa,N,VEE/Particles,Mouse,Immune response,[42]
LIV,prME,SFV/Particles,Mouse,LIV protection,[43]
,"prME, NS1",SFV/Particles,Sheep,LIV protection,[44]
MBGV,"GP, NP, VP35",VEE/Particles,Guinea pig,MBGV protection,[45]
,"GP, NP",VEE/Particles,Macaque,MBGV protection,[46]
Measles,"HA, FUd",SIN/DNA,Mouse,Measles protection,[47]
,"HA, FUd",SIN-VEE/Particles,Macaque,Measles protection,[48]
MVE,"prME, E",SFV/Particles,Mouse,Neutralizing Abs,[49]
NiV,Glycoproteins,VEE/Particles,Mouse,Neutralizing Abs,[33]
NLV,VLP,VEE/Particles,Mouse,Immune response,[50]
Rabies,G,SIN/DNA,Mouse,Rabies protection,[51]
RSV,"F, G","SFV/DNA, RNA",Mouse,RSV protection,[52]
,"F, G",SFV/Particles,Mouse,RSV protection,[53]
