0,1,2,3,4,5
"Table 3. Average qRT-PCR CT values for NDV RNA collected from choanal cleft, Harderian gland, and",,,,,
,conjunctiva 5 days post-challenge with NDV B1 vaccine. Letters (a–c) indicate signiﬁcant differences,,,,
,among vaccine and challenge groups for each week (p < 0.05).,,,,
,,Treatment,,Mean ± SEM,
Week,,,,,
,Vaccine,Challenge,Choanal Cleft,Harderian Gland,Conjunctiva
,−,−,40.0 ± 0.0 a,40.0 ± 0.0 a,39.7 ± 0.4 a
,+,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
20,,,,,
,+,+,40.0 ± 0.0 a,40.0 ± 0.0 a,38.2 ± 0.6 a
,−,+,29.3 ± 1.1 b,28.6 ± 0.9 b,27.6 ± 1.9 b
,−,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
,+,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
24,,,,,
,+,+,40.0 ± 0.0 a,40.0 ± 0.0 a,39.5 ± 0.5 a
,−,+,26.6 ± 1.0 b,34.2 ± 1.4 b,27.8 ± 1.0 b
,−,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
,+,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
28,,,,,
,+,+,40.0 ± 0.0 a,40.0 ± 0.0 a,37.0 ± 0.7 b
,−,+,24.5 ± 0.7 b,33.0 ± 1.3 b,27.9 ± 0.8 c
,−,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
,+,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
32,,,,,
,+,+,39.2 ± 0.6 a,40.0 ± 0.0 a,40.0 ± 0.0 a
,−,+,27.7 ± 2.2 b,31.5 ± 1.6 b,28.6 ± 1.2 b
,−,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
,+,−,40.0 ± 0.0 a,40.0 ± 0.0 a,40.0 ± 0.0 a
36,,,,,
,+,+,38.0 ± 1.1 a,39.1 ± 0.7 a,39.6 ± 0.4 a
,−,+,24.9 ± 1.0 b,33.7 ± 1.8 b,30.3 ± 0.5 b
,,,Notes: SEM = Standard error of the mean.,,
