0,1,2,3,4,5,6
"Molecules 2011, 16",,,,,,10240
,,,Table 2. Cont.,,,
Compound No.,,2D Chemical Structure,,INSIDE,,OUTSIDE
,,,,Free energy of binding,,Free energy of binding
,,,,(kcal/mol),,(kcal/mol)
,,,H3N2,2009-H1N1,H3N2,2009-H1N1
,NH2,,,,,
21,,,−10.00,−10.50,−5.99,−5.41
,,NH2,,,,
,NH2,,,,,
22,,,−9.64,−10.03,−5.55,−5.32
,,NH2,,,,
,NH2,,,,,
23,,,−10.02,−10.79,−5.77,−5.71
,CH3,,,,,
,,NH2,,,,
,,NH2,,,,
24,,,−10.52,−11.20,−5.88,−5.57
,NH2,,,,,
,,NH2,,,,
,NH2,,,,,
25,,,−9.30,−9.69,−5.52,−5.51
,,NH2,,,,
,CH3,,,,,
26,,,−7.80,−7.57,−5.57,−5.49
,,NH2,,,,
27,,,−9.95,−9.93,−6.15,−6.61
,,CH3,,,,
,NH,,,,,
28,,,−10.81,−10.77,−5.66,−3.76
,,CH3,,,,
,N,,,,,
,,CH3,,,,
29,,,−8.95,−9.23,−5.31,−6.24
,,NH2,,,,
30,,,−9.43,−10.12,−5.68,−5.38
,,CH3,,,,
,N,,,,,
,,CH3,,,,
31,,,−10.47,−10.53,−6.06,−5.32
,N,O,,,,
