0,1,2,3,4,5
The Scientiﬁc World Journal,,,,,3
,,Table 1: Bats tested for coronavirus infection using SYBR Green real-time PCR assay.,,,
,Location,Date,No. of bats,,Positives
A,"San Cesario sul Panaro, MO",16/08/2009,11,10,
B,"Sigillo, PG",18/09/2009,1,0,
C,"Monte Croara, S. Lazzaro, BO",05/10/2009,2,0,
D,"Piobesi d’Alba, CN",11/10/2009,10,0,
E,"Rossana, CN",11/10/2009,12,3,
F,"Giovo, SV",19/10/2009,3,3,
G,"Val di Trebbia, PC",20/10/2009,3,1,
H,"Castell’arquato, PC",04/11/2009,3,2,
,Total,,45,19,
